,sample,eventcode,eventname,alpha
3732,2248270,17,s2/t3,16.634990705268848
3733,2248293,8,s1/t3,16.634990705268848
3734,2248737,18,s2/t4,32.29251693844435
3735,2248779,9,s1/t4,32.29251693844435
3736,2249204,19,s2/t5,27.329144329143304
3737,2249240,10,s1/t5,27.329144329143304
3738,2249673,20,s2/t6,32.26461957946174
3739,2249714,11,s1/t6,32.26461957946174
3740,2250126,21,s2/t7,35.591093089850915
3741,2250172,12,s1/t7,35.591093089850915
3742,2250585,22,s2/t8,47.446304815659396
3743,2250638,13,s1/t8,47.446304815659396
3744,2251007,23,s2/t9,
3745,2251042,14,s1/t9,
3746,2251052,49,,
3747,2253940,48,,
3748,2253988,4,,
3749,2254074,5,,
3750,2257295,15,s2/t1,151.3520487914711
3751,2257579,6,s1/t1,151.3520487914711
3752,2257786,16,s2/t2,135.07458143508563
3753,2258043,7,s1/t2,135.07458143508563
3754,2258471,17,s2/t3,34.65223716994524
3755,2258517,8,s1/t3,34.65223716994524
3756,2258951,18,s2/t4,70.14631471291544
3757,2259068,9,s1/t4,70.14631471291544
3758,2259551,19,s2/t5,15.477424977005056
3759,2259574,10,s1/t5,15.477424977005056
3760,2260076,20,s2/t6,18.70003888798729
3761,2260101,11,s1/t6,18.70003888798729
3762,2260554,21,s2/t7,44.24358922658493
3763,2260615,12,s1/t7,44.24358922658493
3764,2261045,22,s2/t8,49.54047653461788
3765,2261114,13,s1/t8,49.54047653461788
3766,2261550,23,s2/t9,
3767,2261592,14,s1/t9,
3768,2261602,49,,
3769,2264502,48,,
3770,2264550,5,,
3771,2264635,4,,
3772,2267778,6,s1/t1,29.18842139363801
3773,2267821,15,s2/t1,29.18842139363801
3774,2268307,7,s1/t2,8.605684386345388
3775,2268318,16,s2/t2,8.605684386345388
3776,2268757,8,s1/t3,39.59569665169235
3777,2268810,17,s2/t3,39.59569665169235
3778,2269242,9,s1/t4,26.065382378881797
3779,2269277,18,s2/t4,26.065382378881797
3780,2269729,10,s1/t5,14.740921913375216
3781,2269749,19,s2/t5,14.740921913375216
3782,2270211,11,s1/t6,19.98077019053673
3783,2270237,20,s2/t6,19.98077019053673
3784,2270690,12,s1/t7,8.289708237393256
3785,2270701,21,s2/t7,8.289708237393256
3786,2271156,22,s2/t8,8.471358305312634
3787,2271167,13,s1/t8,8.471358305312634
3788,2271610,23,s2/t9,
3789,2271633,14,s1/t9,
3790,2271644,49,,
3791,2274280,48,,
3792,2274328,5,,
3793,2274397,4,,
3794,2278026,6,s1/t1,172.91315239643296
3795,2278278,15,s2/t1,172.91315239643296
3796,2278764,16,s2/t2,7.753864070588975
3797,2278775,7,s1/t2,7.753864070588975
3798,2279251,8,s1/t3,8.534167307025115
3799,2279262,17,s2/t3,8.534167307025115
3800,2279693,9,s1/t4,50.886668364654376
3801,2279753,18,s2/t4,50.886668364654376
3802,2280167,10,s1/t5,10.772851246088123
3803,2280183,19,s2/t5,10.772851246088123
3804,2280685,11,s1/t6,12.765451780513017
3805,2280706,20,s2/t6,12.765451780513017
3806,2281189,12,s1/t7,70.09512290632946
3807,2281304,21,s2/t7,70.09512290632946
3808,2281723,13,s1/t8,144.83634043656642
3809,2281895,22,s2/t8,144.83634043656642
3810,2282322,23,s2/t9,
3811,2282420,14,s1/t9,
3812,2282430,49,,
3813,2285322,48,,
3814,2285370,5,,
3815,2285489,4,,
3816,2288807,15,s2/t1,46.08186576615395
3817,2288871,6,s1/t1,46.08186576615395
3818,2289315,16,s2/t2,42.19023942305535
3819,2289373,7,s1/t2,42.19023942305535
3820,2289802,17,s2/t3,47.990034647817076
3821,2289863,8,s1/t3,47.990034647817076
3822,2290282,18,s2/t4,34.11039943041092
3823,2290324,9,s1/t4,34.11039943041092
3824,2290720,19,s2/t5,36.49931655690156
3825,2290769,10,s1/t5,36.49931655690156
3826,2291190,20,s2/t6,50.657325370309245
3827,2291252,11,s1/t6,50.657325370309245
3828,2291671,21,s2/t7,16.0101770376522
3829,2291694,12,s1/t7,16.0101770376522
3830,2292183,22,s2/t8,15.436527191968878
3831,2292203,13,s1/t8,15.436527191968878
3832,2292663,23,s2/t9,
3833,2292674,14,s1/t9,
3834,2292684,49,,
3835,2295066,48,,
3836,2295114,5,,
3837,2295250,4,,
3838,2298767,15,s2/t1,88.1517800899762
3839,2298928,6,s1/t1,88.1517800899762
3840,2299359,7,s1/t2,44.409708391137656
3841,2299423,16,s2/t2,44.409708391137656
3842,2299851,8,s1/t3,70.27557028488593
3843,2299938,17,s2/t3,70.27557028488593
3844,2300329,9,s1/t4,38.36849407954247
3845,2300386,18,s2/t4,38.36849407954247
3846,2300808,10,s1/t5,82.83336284752981
3847,2300923,19,s2/t5,82.83336284752981
3848,2301323,11,s1/t6,36.593040239945566
3849,2301423,20,s2/t6,36.593040239945566
3850,2301795,12,s1/t7,73.34919403499617
3851,2302408,21,s2/t7,73.34919403499617
3852,2302419,13,s1/t8,23.43352003725528
3853,2302918,22,s2/t8,23.43352003725528
3854,2302940,14,s1/t9,
3855,2303387,23,s2/t9,
3856,2303397,49,,
3857,2305782,48,,
3858,2305831,4,,
3859,2305899,5,,
3860,2309445,6,s1/t1,118.54701892552937
3861,2309682,15,s2/t1,118.54701892552937
3862,2310146,16,s2/t2,12.47799724220434
3863,2310163,7,s1/t2,12.47799724220434
3864,2310622,17,s2/t3,21.36929749778227
3865,2310648,8,s1/t3,21.36929749778227
3866,2311086,9,s1/t4,27.465130327373714
